Pro,L,Dock,Ship,Pcs,Wgt,LdTrlr,LdDoor,LoadTS,LoadDOW,LoadInterval,Dest,LoadTo,LoadToParent
2558534837,L,CTY,1,3,72,137723,218,35:00.0,6,6:00,422,422,422
255853491X,L,CTY,1,3,46,130752,170,53:00.0,6,9:00,644,644,644
255853513X,L,CTY,1,3,54,137723,209,37:00.0,6,0:00,422,422,422
2558535212,L,CTY,1,4,86,133850,186,19:00.0,6,1:00,432,432,432
2558535304,L,CTY,1,3,66,45605,170,50:00.0,6,3:00,644,644,644
2558542344,L,CTY,1,1,15,137082,226,19:00.0,5,4:00,422,422,422
2558542427,L,CTY,1,2,29,137723,217,30:00.0,6,0:00,422,422,422
2616783197,L,OB,1,2,32,131137,79,18:00.0,1,21:00,116,135,135
2616783206,L,OB,1,2,32,131137,79,18:00.0,1,21:00,116,135,135
2616783215,L,IB,1,1,12,127524,119,55:00.0,1,17:00,615,653,653
2749242521,L,OB,1,2,915,126862,97,32:00.0,3,11:00,431,431,431
2749242530,L,OB,1,3,591,130948,59,30:00.0,3,6:00,847,830,830
2749311657,L,IB,1,1,300,135908,107,36:00.0,6,7:00,455,455,455
2749340239,L,OB,1,1,992,132737,91,25:00.0,7,12:00,525,525,525
2749391966,L,OB,1,1,176,126500,54,02:00.0,4,11:00,840,841,841
2749391975,L,OB,1,2,390,132601,59,44:00.0,1,1:00,847,830,830
2749391993,L,OB,1,1,474,132601,59,50:00.0,1,1:00,661,830,830
2749407797,L,OB,1,1,160,136297,94,19:00.0,5,6:00,557,557,557
2749644461,L,OB,1,90,1635,128287,83,39:00.0,7,19:00,180,123,123
2749678058,L,OB,1,1,170,261346,61,05:00.0,3,6:00,890,890,890
274969167X,L,IB,1,22,13040,123834,127,17:00.0,4,18:00,547,431,431
2749696693,L,OB,1,181,1022,134425,12,21:00.0,1,7:00,819,819,819
2749696904,L,OB,1,74,960,202347,27,55:00.0,5,0:00,326,326,326
2749696922,L,OB,1,60,700,249140,91,26:00.0,4,21:00,525,525,525
2749696931,L,IB,1,58,607,135818,119,46:00.0,4,18:00,653,653,653
2749696987,L,OB,1,103,1305,133519,25,27:00.0,5,0:00,326,326,326
2749696996,L,OB,1,53,558,261071,85,17:00.0,4,13:00,145,123,123
2749696996,L,OB,1,53,558,261071,86,47:00.0,4,16:00,145,123,123
2749697005,L,OB,1,15,162,136318,12,29:00.0,4,11:00,819,819,819
2749730555,L,OB,1,2,1120,133057,82,16:00.0,6,14:00,555,555,555
2749812853,L,OB,1,1,101,140160,59,50:00.0,4,4:00,833,830,830
2749812853,L,OB,1,1,101,140160,59,19:00.0,4,8:00,833,830,830
2749812862,L,OB,1,1,269,140160,59,19:00.0,4,8:00,833,830,830
2749812871,L,IB,1,1,288,134387,109,53:00.0,4,4:00,429,455,455
274981311X,L,OB,1,1,625,119962,92,57:00.0,3,7:00,557,557,557
2749813147,L,OB,1,2,3945,133057,82,09:00.0,6,14:00,555,555,555
2749813174,L,OB,1,1,123,131209,94,04:00.0,3,10:00,557,557,557
2749813183,L,OB,1,1,328,135191,9,07:00.0,5,9:00,381,381,381
2749813403,L,IB,1,1,110,123631,121,21:00.0,4,22:00,615,653,653
2749813412,L,OB,1,1,159,45587,57,29:00.0,4,22:00,833,830,830
2749813421,L,IB,1,1,279,137394,109,32:00.0,4,22:00,429,455,455
2749813430,L,OB,1,1,1065,133578,59,13:00.0,4,22:00,833,830,830
274981344X,L,IB,1,1,276,R172513206,119,24:00.0,4,22:00,615,653,653
2749835688,L,OB,1,1,300,138557,61,13:00.0,5,7:00,890,890,890
2758629354,L,OB,1,5,2177,125161,33,11:00.0,6,11:00,370,347,347
2773498743,L,OB,1,12,3497,PASC634516,47,05:00.0,6,11:00,626,309,309
2781599135,L,OB,1,4,1765,125203,63,48:00.0,2,19:00,888,890,890
2785009144,L,OB,1,1,275,126288,10,04:00.0,6,14:00,819,819,819
2785039257,L,OB,1,4,1720,124574,56,12:00.0,6,10:00,885,875,875
2786200260,L,OB,1,5,2730,136884,70,58:00.0,6,22:00,292,292,292
2786200370,L,OB,1,2,690,128237,9,47:00.0,6,9:00,860,381,381
2786200783,L,OB,1,1,273,136884,70,21:00.0,6,13:00,292,292,292
2786215193,L,OB,1,5,2925,135556,9,35:00.0,1,5:00,861,381,381
2786215496,L,OB,1,3,1418,135237,65,23:00.0,1,3:00,569,569,569
2786215532,L,OB,1,4,1638,135895,61,55:00.0,1,3:00,614,890,890
2786215541,L,OB,1,5,2375,118304,33,18:00.0,7,13:00,602,347,347
2788470193,L,OB,1,1,762,135237,65,37:00.0,1,3:00,569,569,569
2790975509,L,OB,1,6,3090,127039,61,14:00.0,5,13:00,891,890,890
2790975590,L,OB,1,7,3945,133193,62,37:00.0,6,17:00,881,881,881
2792160649,L,OB,1,9,3970,251501,70,19:00.0,1,20:00,292,292,292
2792160649,L,OB,1,9,3970,251501,75,20:00.0,1,0:00,292,292,292
2792175847,L,OB,1,8,4440,128622,4,58:00.0,2,18:00,861,381,381
2792175847,L,OB,1,8,4440,128622,7,37:00.0,1,21:00,861,381,381
2792175948,L,OB,1,6,3535,290337,25,50:00.0,7,21:00,569,569,326
2792175957,L,OB,1,7,3685,128463,63,50:00.0,1,8:00,614,890,890
2793287020,L,OB,1,1,310,137432,41,17:00.0,7,18:00,621,621,621
2794388259,L,OB,1,4,2530,127209,61,41:00.0,4,3:00,890,890,890
279438989X,L,OB,1,2,1715,291281,65,28:00.0,5,20:00,569,569,569
279438989X,L,OB,1,2,1715,291281,65,23:00.0,5,20:00,569,569,569
2795458824,L,OB,1,5,3970,132935,22,43:00.0,5,23:00,304,304,304
2795459722,L,OB,1,5,1630,138351,70,24:00.0,5,13:00,292,292,292
2796738041,L,OB,1,2,1910,127841,62,20:00.0,1,0:00,881,881,881
280004027X,L,OB,1,1,298,131793,61,19:00.0,1,1:00,890,890,890
2801753126,L,OB,1,1,235,124616,64,28:00.0,6,12:00,879,873,873
2801811738,L,OB,1,1,204,135355,56,46:00.0,2,17:00,875,875,875
2802071567,L,OB,1,1,84,131332,62,10:00.0,5,3:00,882,881,881
2802071713,L,OB,1,2,600,45329,25,06:00.0,2,14:00,326,326,326
2802072117,L,OB,1,1,33,138684,41,30:00.0,3,15:00,343,621,621
2802072144,L,OB,1,2,502,128551,33,01:00.0,3,15:00,347,347,347
2802072171,L,OB,1,3,369,127891,35,13:00.0,3,14:00,864,347,347
2802072180,L,OB,1,1,75,135090,65,33:00.0,3,15:00,569,569,569
2802072245,L,OB,1,3,285,261338,61,26:00.0,5,19:00,890,890,890
2802072254,L,OB,1,6,685,131332,62,10:00.0,5,3:00,882,881,881
2802072263,L,OB,1,1,140,261338,61,54:00.0,6,1:00,890,890,890
2802072355,L,OB,1,1,145,139932,62,02:00.0,5,23:00,881,881,881
2802072382,L,OB,1,1,210,261338,61,53:00.0,6,1:00,890,890,890
2802072456,L,OB,1,3,788,291219,41,44:00.0,7,12:00,621,621,621
2802072474,L,OB,1,1,97,124574,56,21:00.0,6,16:00,875,875,875
2802072483,L,OB,1,1,46,137656,61,31:00.0,6,15:00,890,890,890
2802072492,L,OB,1,1,114,135895,61,32:00.0,7,19:00,890,890,890
280207252X,L,OB,1,1,180,261258,56,19:00.0,1,6:00,875,875,875
2802072685,L,OB,1,2,178,249073,61,08:00.0,3,10:00,890,890,890
2802072694,L,OB,1,2,275,249073,61,00:00.0,3,10:00,890,890,890
2802072703,L,OB,1,5,355,138970,41,24:00.0,3,15:00,621,621,621
2802072712,L,OB,1,5,340,129949,39,01:00.0,3,13:00,621,621,621
2802072721,L,OB,1,1,190,133233,62,10:00.0,4,16:00,881,881,881
2802072730,L,OB,1,1,65,136999,61,03:00.0,4,21:00,890,890,890
2802379118,L,CTY,1,1,315,290395,223,46:00.0,6,1:00,422,422,422
2802379127,L,CTY,1,1,315,119435,198,33:00.0,6,15:00,435,435,435
2802379154,L,OB,1,1,345,134785,70,54:00.0,5,21:00,292,292,292
2802379154,L,OB,1,1,345,134785,70,10:00.0,6,16:00,292,292,292
2802379246,L,CTY,1,1,342,119435,198,56:00.0,6,15:00,435,435,435
