Pro,UL,Dock,Ship,Pcs,Wgt,ULTrlr,ULDoor,UnloadTS,UnLoadDOW,LoadInterval,Org,UnloadDate,UnloadTime
2902333742,U,OB,1,4,1920,T326599794,78,"43,413.95",6,22:00,290,11/9/2018,22:48:00
2902337143,U,IB,1,4,2060,135142,159,"43,400.01",7,0:00,290,10/27/2018,0:14:00
2902337152,U,IB,1,8,3000,252071,161,"43,409.77",2,18:00,290,11/5/2018,18:31:00
2902337161,U,OB,1,3,1650,530977,62,"43,416.30",2,7:00,290,11/12/2018,7:16:00
2902340122,U,IB,1,1,100,139444,122,"43,419.65",5,15:00,290,11/15/2018,15:42:00
2902344091,U,OB,1,2,3020,530977,62,"43,416.27",2,6:00,290,11/12/2018,6:32:00
2902344129,U,OB,1,1,1606,530977,62,"43,416.03",2,0:00,290,11/12/2018,0:38:00
2902344192,U,IB,1,8,2440,132690,102,"43,418.53",4,12:00,290,11/14/2018,12:46:00
2902344248,U,IB,1,1,689,135288,102,"43,420.07",6,1:00,290,11/16/2018,1:44:00
2902344266,U,OB,1,1,950,128028,72,"43,398.21",5,4:00,290,10/25/2018,4:56:00
2902344266,U,IB,1,1,950,128028,109,"43,399.16",6,3:00,290,10/26/2018,3:48:00
2902344358,U,IB,1,1,278,135142,159,"43,400.01",7,0:00,290,10/27/2018,0:17:00
2902344421,U,OB,1,1,170,R621565940,69,"43,406.23",6,5:00,290,11/2/2018,5:35:00
2902344486,U,IB,1,1,611,131908,114,"43,410.36",3,8:00,290,11/6/2018,8:42:00
2926070891,U,OB,1,1,200,122423,64,"43,419.39",5,9:00,292,11/15/2018,9:19:00
2932918630,U,OB,1,1,217,127088,79,"43,410.70",3,16:00,422,11/6/2018,16:50:00
2932918677,U,OB,1,2,152,129585,71,"43,411.80",4,19:00,422,11/7/2018,19:14:00
2932918722,U,OB,1,4,2064,129585,71,"43,411.82",4,19:00,422,11/7/2018,19:42:00
2932918731,U,OB,1,1,92,202373,68,"43,412.01",5,0:00,422,11/8/2018,0:21:00
2937140091,U,OB,1,2,1365,530697,75,"43,399.93",6,22:00,422,10/26/2018,22:12:00
2965424724,U,OB,1,1,252,129561,83,"43,403.61",3,14:00,641,10/30/2018,14:35:00
3088265391,U,IB,1,2,2430,129725,137,"43,416.34",2,8:00,220,11/12/2018,8:06:00
3088295504,U,IB,1,1,232,135770,112,"43,399.63",6,15:00,220,10/26/2018,15:07:00
3088304524,U,OB,1,2,638,124186,94,"43,406.20",6,4:00,220,11/2/2018,4:48:00
3088318604,U,IB,1,1,1700,133592,126,"43,401.39",1,9:00,220,10/28/2018,9:23:00
3088318613,U,OB,1,2,550,252071,78,"43,411.40",4,9:00,220,11/7/2018,9:37:00
3088325305,U,IB,1,1,1420,127369,125,"43,394.27",1,6:00,220,10/21/2018,6:24:00
3088325305,U,IB,1,1,1420,127369,135,"43,395.15",2,3:00,220,10/22/2018,3:30:00
3088325442,U,OB,1,1,1600,133018,64,"43,412.85",5,20:00,220,11/8/2018,20:21:00
3088325460,U,OB,1,1,230,T326599794,78,"43,413.98",6,23:00,220,11/9/2018,23:37:00
3088325507,U,OB,1,1,5,T85726839,73,"43,415.91",1,21:00,220,11/11/2018,21:48:00
