Pro,UL,Dock,Ship,Pcs,Wgt,ULTrlr,ULDoor,UnloadTS,UnLoadDOW,LoadInterval,Org
2932918677,U,OB,1,2,152,129585,71,14:00.0,4,19:00,422
2932918722,U,OB,1,4,2064,129585,71,42:00.0,4,19:00,422
2932918731,U,OB,1,1,92,202373,68,21:00.0,5,0:00,422
2937140091,U,OB,1,2,1365,530697,75,12:00.0,6,22:00,422
2965424724,U,OB,1,1,252,129561,83,35:00.0,3,14:00,641
3088265391,U,IB,1,2,2430,129725,137,06:00.0,2,8:00,220
3088295504,U,IB,1,1,232,135770,112,07:00.0,6,15:00,220
3088304524,U,OB,1,2,638,124186,94,48:00.0,6,4:00,220
3088318604,U,IB,1,1,1700,133592,126,23:00.0,1,9:00,220
3088318613,U,OB,1,2,550,252071,78,37:00.0,4,9:00,220
3088325305,U,IB,1,1,1420,127369,125,24:00.0,1,6:00,220
3088325305,U,IB,1,1,1420,127369,135,30:00.0,2,3:00,220
3088325442,U,OB,1,1,1600,133018,64,21:00.0,5,20:00,220
3088325460,U,OB,1,1,230,T326599794,78,37:00.0,6,23:00,220
3088325507,U,OB,1,1,5,T85726839,73,48:00.0,1,21:00,220
3088330264,U,OB,1,2,1300,131841,74,09:00.0,6,18:00,220
3088334738,U,OB,1,1,283,128380,98,39:00.0,3,21:00,220
3088334810,U,OB,1,1,440,135217,76,57:00.0,5,16:00,220
3088343877,U,IB,1,1,615,130766,128,20:00.0,5,10:00,220
3088343904,U,IB,1,1,454,139444,122,14:00.0,5,16:00,220
3088344133,U,IB,1,1,750,133592,126,59:00.0,1,8:00,220
308834417X,U,OB,1,1,151,430295,72,22:00.0,2,17:00,220
3088348515,U,OB,1,1,1820,128380,98,23:00.0,3,22:00,220
3097062422,U,OB,1,3,1662,135383,60,01:00.0,5,11:00,309
312216844X,U,IB,1,1,79,125608,100,22:00.0,3,9:00,312
3122168569,U,IB,1,1,64,140405,126,14:00.0,3,21:00,312
3122168587,U,IB,1,2,125,137798,116,48:00.0,4,7:00,312
3122168650,U,IB,1,1,151,137778,157,41:00.0,7,0:00,312
3123257165,U,IB,1,1,1080,125747,155,06:00.0,5,0:00,312
3126239687,U,IB,1,2,448,134706,153,29:00.0,7,18:00,312
3133429737,U,CTY,1,1,57,124113,R   ,31:00.0,5,19:00,313
3133429737,U,OB,1,1,57,124113,72,46:00.0,4,16:00,313
3133453625,U,IB,1,8,2345,134266,116,13:00.0,4,15:00,313
3183203485,U,IB,1,1,150,211439,118,14:00.0,4,4:00,356
3183203586,U,OB,1,1,96,139612,78,21:00.0,6,16:00,244
3183673450,U,IB,1,1,1670,134462,102,10:00.0,5,9:00,309
3191106032,U,OB,1,4,15522,140433,98,34:00.0,1,19:00,201
3191186168,U,OB,1,1,1250,128428,89,59:00.0,1,0:00,201
3191222513,U,OB,1,2,1655,251726,62,29:00.0,3,22:00,201
3191222522,U,OB,1,3,1370,211185,77,36:00.0,2,15:00,201
3191222531,U,OB,1,2,1770,531065,69,17:00.0,6,6:00,201
3191232550,U,OB,1,2,2510,290562,75,28:00.0,4,13:00,201
323476873X,U,OB,1,9,4181,530433,89,25:00.0,2,22:00,324
3234768749,U,OB,1,3,1143,530433,89,32:00.0,2,21:00,324
3234768758,U,OB,1,1,490,530433,89,53:00.0,2,20:00,324
3234768767,U,IB,1,1,183,559246,129,44:00.0,6,18:00,324
3234768776,U,IB,1,1,311,559246,129,51:00.0,6,18:00,324
3234768785,U,IB,1,2,595,559246,129,03:00.0,6,19:00,324
3234768794,U,IB,1,2,705,558722,115,56:00.0,3,23:00,324
3234768803,U,IB,1,3,1294,559938,118,45:00.0,3,2:00,324
3234768812,U,IB,1,6,3105,559163,124,40:00.0,6,20:00,324
3240023807,U,IB,1,1,340,311126,112,36:00.0,5,20:00,324
3240045870,U,IB,1,4,457,530551,162,11:00.0,2,12:00,324
3240247033,U,IB,1,2,1710,531070,117,15:00.0,4,8:00,324
3240512600,U,IB,1,9,2240,821347,162,37:00.0,2,19:00,324
324051261X,U,IB,1,3,1572,820951,102,45:00.0,3,18:00,324
3240512647,U,IB,1,5,6975,821346,153,41:00.0,2,19:00,324
3240512656,U,IB,1,2,2202,821346,159,24:00.0,3,20:00,324
3240512665,U,IB,1,4,1495,821347,161,34:00.0,5,22:00,324
3240512674,U,IB,1,4,4060,821347,112,13:00.0,4,21:00,324
3240512683,U,IB,1,9,2865,821346,118,36:00.0,7,1:00,324
3240913505,U,IB,1,1,645,558400,114,35:00.0,2,21:00,324
3241289467,U,IB,1,4,1640,390299,164,15:00.0,1,0:00,324
3241289476,U,IB,1,10,3680,390299,164,28:00.0,1,0:00,324
3241289485,U,IB,1,11,5495,390299,164,11:00.0,1,0:00,324
3241289494,U,IB,1,5,2125,390299,164,21:00.0,1,0:00,324
3241289512,U,IB,1,14,5965,560723,118,17:00.0,2,19:00,324
3241289521,U,IB,1,2,440,560802,160,27:00.0,2,23:00,324
3241289530,U,IB,1,3,840,560802,160,44:00.0,2,23:00,324
324128954X,U,IB,1,2,610,560802,160,48:00.0,2,23:00,324
3241289559,U,IB,1,1,485,560802,160,35:00.0,2,23:00,324
3241289568,U,IB,1,1,385,560802,160,20:00.0,2,23:00,324
3241289577,U,IB,1,2,710,560802,160,31:00.0,2,23:00,324
3241289577,U,CTY,1,2,710,560802,170,23:00.0,3,10:00,324
3241289586,U,IB,1,10,3985,560802,160,16:00.0,2,23:00,324
3241289595,U,IB,1,4,1840,560802,160,22:00.0,2,21:00,324
3241289604,U,IB,1,5,1725,530407,130,55:00.0,2,17:00,324
3241289613,U,IB,1,13,5570,560802,160,53:00.0,2,20:00,324
3241289640,U,IB,1,13,5445,530407,130,29:00.0,2,18:00,324
324128965X,U,IB,1,2,720,430295,160,06:00.0,6,19:00,324
3241289669,U,IB,1,5,2095,430295,160,04:00.0,6,19:00,324
3241289678,U,IB,1,6,2220,430295,160,56:00.0,6,18:00,324
3241289687,U,OB,1,5,1960,559509,22,38:00.0,7,11:00,324
3241289696,U,OB,1,6,2260,559509,22,14:00.0,7,11:00,324
3241289705,U,OB,1,8,2860,559509,22,50:00.0,7,10:00,324
3241289714,U,OB,1,19,7675,559509,22,26:00.0,7,10:00,324
3241289723,U,OB,1,2,1920,560300,85,26:00.0,5,0:00,324
3241289732,U,OB,1,4,2980,560300,85,42:00.0,5,0:00,324
3241289741,U,IB,1,10,4300,904221,114,07:00.0,1,11:00,324
3241289750,U,IB,1,13,3935,904221,114,03:00.0,1,11:00,324
3241289779,U,IB,1,2,995,904221,114,21:00.0,7,2:00,324
3241289788,U,IB,1,3,1115,558451,112,19:00.0,2,17:00,324
3241289797,U,IB,1,2,805,904221,114,53:00.0,7,3:00,324
3241289806,U,IB,1,6,2645,558451,112,09:00.0,2,17:00,324
3241289815,U,IB,1,9,4280,558451,112,16:00.0,2,16:00,324
3241289824,U,IB,1,6,2490,000OSD,146,31:00.0,3,15:00,324
3241289851,U,IB,1,13,4338,310180,116,32:00.0,1,18:00,324
3241289860,U,IB,1,3,759,310180,116,13:00.0,1,18:00,324
3241289889,U,IB,1,5,2057,310180,116,55:00.0,1,17:00,324
3241289907,U,IB,1,2,508,310180,116,21:00.0,1,18:00,324
3241289916,U,IB,1,2,670,530084,122,54:00.0,7,0:00,324
3241289925,U,IB,1,5,2340,530084,122,50:00.0,7,0:00,324
324128998X,U,IB,1,14,5655,530084,166,59:00.0,7,23:00,324
3241914642,U,IB,1,6,4285,530781,113,30:00.0,5,22:00,324
3242146477,U,IB,1,4,1254,530433,114,20:00.0,5,20:00,324
3243757427,U,IB,1,2,1151,430210,114,19:00.0,5,18:00,324
3243757454,U,IB,1,2,1725,530433,112,27:00.0,6,21:00,324
3245617619,U,IB,1,4,2175,537665,102,37:00.0,5,17:00,324
324562761X,U,IB,1,4,2175,537665,102,55:00.0,5,15:00,324
3245627638,U,IB,1,8,5389,537665,102,33:00.0,5,17:00,324
3246375766,U,IB,1,2,532,311239,116,10:00.0,3,20:00,324
3246375775,U,IB,1,2,1220,311239,116,25:00.0,3,19:00,324
3246375784,U,IB,1,2,963,430180,102,57:00.0,6,17:00,324
3246419454,U,OB,1,3,764,558874,78,19:00.0,4,20:00,324
3246419463,U,CTY,1,2,525,131350,169,40:00.0,3,18:00,324
3246419472,U,IB,1,1,1021,530977,166,47:00.0,4,20:00,324
3246421764,U,IB,1,1,430,558722,115,07:00.0,4,0:00,324
324721931X,U,IB,1,7,2395,821347,158,23:00.0,3,0:00,324
3247219338,U,IB,1,1,200,821347,158,48:00.0,2,23:00,324
3247219347,U,IB,1,2,330,820678,115,57:00.0,6,20:00,324
3247219356,U,IB,1,10,3125,820678,115,24:00.0,6,21:00,324
3247219365,U,IB,1,35,91,821070,124,21:00.0,7,0:00,324
3247264328,U,IB,1,1,195,903812,122,30:00.0,5,1:00,324
3247264337,U,IB,1,4,2735,310734,137,52:00.0,3,19:00,324
3247265529,U,IB,1,4,3540,559938,118,14:00.0,3,3:00,324
3247265538,U,IB,1,3,3569,430563,128,36:00.0,5,20:00,324
3247265547,U,IB,1,1,500,530977,130,33:00.0,7,4:00,324
3247271258,U,IB,1,3,2230,430563,128,27:00.0,5,20:00,324
3247287693,U,IB,1,7,4005,903812,122,40:00.0,5,0:00,324
3247287702,U,IB,1,5,3305,903812,122,40:00.0,5,1:00,324
3247287711,U,IB,1,2,2048,903812,122,57:00.0,5,0:00,324
3247287720,U,IB,1,6,4780,530433,160,21:00.0,4,21:00,324
324728773X,U,IB,1,4,2845,530433,114,55:00.0,5,20:00,324
3247287749,U,IB,1,1,880,820951,158,10:00.0,6,20:00,324
3247287767,U,IB,1,5,3400,559938,118,02:00.0,3,3:00,324
3247287776,U,IB,1,2,665,559938,118,50:00.0,3,2:00,324
3247287785,U,IB,1,4,2950,430563,128,18:00.0,5,20:00,324
3247287794,U,IB,1,1,219,530977,130,45:00.0,7,4:00,324
3247392211,U,IB,1,1,203,560535,153,28:00.0,1,0:00,324
3248149819,U,IB,1,1,226,558722,115,36:00.0,4,0:00,324
3248204929,U,IB,1,7,3780,430180,102,04:00.0,6,17:00,324
3248582797,U,CTY,1,2,800,139460,172,37:00.0,6,20:00,324
3248582815,U,IB,1,3,1855,138088,157,37:00.0,3,22:00,324
3248653801,U,IB,1,3,1764,127836,159,26:00.0,5,21:00,324
3248653810,U,IB,1,1,145,127836,159,31:00.0,5,21:00,324
3248831718,U,IB,1,6,1835,560539,129,24:00.0,3,1:00,324
3248831727,U,OB,1,4,11088,311126,24,11:00.0,3,0:00,324
3248831736,U,OB,1,6,1650,310702,13,03:00.0,3,3:00,324
3249539842,U,IB,1,2,1190,558518,122,29:00.0,4,7:00,324
3249539851,U,IB,1,1,1835,558518,122,33:00.0,4,7:00,324
3249539860,U,IB,1,1,316,278819,126,09:00.0,5,0:00,324
324953987X,U,OB,1,1,685,560725,83,08:00.0,5,21:00,324
3353774852,U,OB,1,1,173,279095,79,22:00.0,6,8:00,303
3404221791,U,OB,1,6,5390,125058,70,09:00.0,6,16:00,304
3405104817,U,OB,1,5,415,135815,62,41:00.0,5,19:00,304
3405104954,U,IB,1,1,180,136542,153,53:00.0,6,9:00,304
3408369350,U,IB,1,2,1652,R621810773,100,28:00.0,4,0:00,304
3409671310,U,OB,1,10,4153,290681,60,07:00.0,1,21:00,304
3409671366,U,IB,1,2,1286,122892,100,02:00.0,5,11:00,304
3424733273,U,OB,1,4,5600,261315,79,03:00.0,1,23:00,326
3457745962,U,OB,1,6,1895,R621808419,70,03:00.0,6,1:00,345
3457745971,U,OB,1,1,355,290281,64,46:00.0,4,8:00,345
3457745980,U,OB,1,1,182,530589,71,56:00.0,6,8:00,345
347669901X,U,OB,1,1,177,138217,64,23:00.0,1,14:00,447
3476699029,U,OB,1,1,95,137824,87,25:00.0,6,15:00,447
3558821387,U,OB,1,1,274,280611,76,18:00.0,4,7:00,355
3558821396,U,OB,1,1,1430,280611,76,20:00.0,4,7:00,355
3558834257,U,IB,1,1,178,123430,116,35:00.0,3,11:00,355
3621588676,U,OB,1,3,3160,128061,85,53:00.0,3,22:00,315
3621588777,U,IB,1,2,1125,211558,115,03:00.0,5,19:00,315
3621588804,U,IB,1,2,1425,211558,115,21:00.0,5,17:00,315
362158885X,U,IB,1,1,656,211558,115,40:00.0,5,17:00,315
3621589592,U,OB,1,1,338,125177,70,01:00.0,5,13:00,315
3621749624,U,IB,1,5,3903,261256,163,45:00.0,5,4:00,315
3621852813,U,OB,1,1,480,138679,62,52:00.0,4,3:00,315
3623003743,U,IB,1,2,100,261256,163,32:00.0,5,2:00,315
3629367683,U,IB,1,2,2748,127859,112,14:00.0,4,14:00,315
3629367692,U,OB,1,4,3656,558462,87,32:00.0,4,10:00,315
3812166625,U,OB,1,2,742,132937,87,35:00.0,7,3:00,381
3960442018,U,OB,1,1,185,122994,60,37:00.0,6,9:00,396
4055944171,U,OB,1,3,943,129766,68,30:00.0,4,19:00,402
4055944180,U,OB,1,2,450,137002,69,54:00.0,5,17:00,402
405594419X,U,OB,1,4,909,137002,69,31:00.0,5,16:00,402
4101399063,U,OB,1,1,100,136667,70,21:00.0,1,0:00,511
4118661382,U,OB,1,2,620,133532,69,36:00.0,6,13:00,411
4118661768,U,OB,1,2,225,132079,87,03:00.0,6,9:00,411
4118661831,U,OB,1,1,275,135815,68,28:00.0,5,20:00,411
4170585559,U,IB,1,7,4065,132398,128,22:00.0,5,7:00,272
4171364211,U,OB,1,1,358,559997,73,18:00.0,6,2:00,555
4171760707,U,IB,1,1,250,138928,162,39:00.0,5,7:00,312
4171760835,U,IB,1,1,80,128164,114,01:00.0,7,7:00,312
4171760844,U,IB,1,1,76,128164,114,53:00.0,7,6:00,312
4172225951,U,OB,1,2,1205,127359,89,52:00.0,5,0:00,318
417245235X,U,OB,1,1,80,137002,69,11:00.0,5,15:00,401
4172461095,U,OB,1,1,184,126651,72,13:00.0,5,21:00,401
4172842034,U,IB,1,2,1225,126907,161,35:00.0,7,15:00,322
4172842117,U,IB,1,3,1748,126907,161,39:00.0,7,15:00,322
4172961779,U,OB,1,8,2815,PAMT170056,79,28:00.0,7,9:00,431
4173820888,U,IB,1,1,310,131494,127,28:00.0,7,2:00,245
4173820897,U,IB,1,1,223,131494,127,23:00.0,7,2:00,245
4173820933,U,IB,1,2,1616,291151,155,22:00.0,5,8:00,245
4173820951,U,IB,1,1,250,136844,164,22:00.0,7,8:00,245
4176775744,U,OB,1,1,280,131686,71,47:00.0,5,21:00,830
4176775762,U,OB,1,1,100,132132,83,26:00.0,6,0:00,830
4177667918,U,OB,1,2,1685,530977,62,28:00.0,2,6:00,
427037236X,U,IB,1,5,3400,559246,129,24:00.0,6,19:00,324
4270372388,U,IB,1,6,3585,559938,118,45:00.0,6,21:00,324
4270372397,U,IB,1,1,95,559938,118,59:00.0,6,21:00,324
4270746451,U,OB,1,2,897,133101,85,21:00.0,5,0:00,152
4271677859,U,OB,1,1,300,137181,79,23:00.0,5,14:00,508
4271764429,U,OB,1,1,535,132055,62,37:00.0,4,11:00,112
4271766252,U,OB,1,2,1385,137151,60,01:00.0,2,19:00,112
4274610953,U,OB,1,1,290,132686,60,15:00.0,3,7:00,853
